data_set,nof_rows,nof_col,nof_num_features,nof_cat_features,nof_pos,pos_ratio,use_case,origin,LENC_nof_bin_cols,LENC-XGB_runtime,LENC-XGB_acc,LENC-XGB_adj_bal_acc,LENC-XGB_recall,LENC-XGB_precision,LENC-XGB_f2,LENC-XGB_f,LENC-CART:4_runtime,LENC-CART:4_acc,LENC-CART:4_adj_bal_acc,LENC-CART:4_recall,LENC-CART:4_precision,LENC-CART:4_f2,LENC-CART:4_f,LENC-CART:4_nof_rules,LENC-CART:4_sum_preds,LENC-CART:4_max_preds,LENC-CART:4_avg_preds,LENC-CART:6_runtime,LENC-CART:6_acc,LENC-CART:6_adj_bal_acc,LENC-CART:6_recall,LENC-CART:6_precision,LENC-CART:6_f2,LENC-CART:6_f,LENC-CART:6_nof_rules,LENC-CART:6_sum_preds,LENC-CART:6_max_preds,LENC-CART:6_avg_preds,LENC-CART:*_runtime,LENC-CART:*_acc,LENC-CART:*_adj_bal_acc,LENC-CART:*_recall,LENC-CART:*_precision,LENC-CART:*_f2,LENC-CART:*_f,LENC-CART:*_nof_rules,LENC-CART:*_sum_preds,LENC-CART:*_max_preds,LENC-CART:*_avg_preds,TREES_nof_bin_cols,TREES-BRCG_runtime,TREES-BRCG_acc,TREES-BRCG_adj_bal_acc,TREES-BRCG_recall,TREES-BRCG_precision,TREES-BRCG_f2,TREES-BRCG_f,TREES-BRCG_nof_rules,TREES-BRCG_sum_preds,TREES-BRCG_max_preds,TREES-BRCG_avg_preds,NATIVE_nof_bin_cols,NATIVE-RIPPER_runtime,NATIVE-RIPPER_acc,NATIVE-RIPPER_adj_bal_acc,NATIVE-RIPPER_recall,NATIVE-RIPPER_precision,NATIVE-RIPPER_f2,NATIVE-RIPPER_f,NATIVE-RIPPER_nof_rules,NATIVE-RIPPER_sum_preds,NATIVE-RIPPER_max_preds,NATIVE-RIPPER_avg_preds,NATIVE-RIPPER2_runtime,NATIVE-RIPPER2_acc,NATIVE-RIPPER2_adj_bal_acc,NATIVE-RIPPER2_recall,NATIVE-RIPPER2_precision,NATIVE-RIPPER2_f2,NATIVE-RIPPER2_f,NATIVE-RIPPER2_nof_rules,NATIVE-RIPPER2_sum_preds,NATIVE-RIPPER2_max_preds,NATIVE-RIPPER2_avg_preds,NATIVE-RIPPER3_runtime,NATIVE-RIPPER3_acc,NATIVE-RIPPER3_adj_bal_acc,NATIVE-RIPPER3_recall,NATIVE-RIPPER3_precision,NATIVE-RIPPER3_f2,NATIVE-RIPPER3_f,NATIVE-RIPPER3_nof_rules,NATIVE-RIPPER3_sum_preds,NATIVE-RIPPER3_max_preds,NATIVE-RIPPER3_avg_preds,TREES-CORELS_runtime,TREES-CORELS_acc,TREES-CORELS_adj_bal_acc,TREES-CORELS_recall,TREES-CORELS_precision,TREES-CORELS_f2,TREES-CORELS_f,TREES-CORELS_nof_rules,TREES-CORELS_sum_preds,TREES-CORELS_max_preds,TREES-CORELS_avg_preds,TREES-BRCG2_runtime,TREES-BRCG2_acc,TREES-BRCG2_adj_bal_acc,TREES-BRCG2_recall,TREES-BRCG2_precision,TREES-BRCG2_f2,TREES-BRCG2_f,TREES-BRCG2_nof_rules,TREES-BRCG2_sum_preds,TREES-BRCG2_max_preds,TREES-BRCG2_avg_preds,TREES2_nof_bin_cols,TREES2-BRCG2_runtime,TREES2-BRCG2_acc,TREES2-BRCG2_adj_bal_acc,TREES2-BRCG2_recall,TREES2-BRCG2_precision,TREES2-BRCG2_f2,TREES2-BRCG2_f,TREES2-BRCG2_nof_rules,TREES2-BRCG2_sum_preds,TREES2-BRCG2_max_preds,TREES2-BRCG2_avg_preds,TREES2-BRCG_runtime,TREES2-BRCG_acc,TREES2-BRCG_adj_bal_acc,TREES2-BRCG_recall,TREES2-BRCG_precision,TREES2-BRCG_f2,TREES2-BRCG_f,TREES2-BRCG_nof_rules,TREES2-BRCG_sum_preds,TREES2-BRCG_max_preds,TREES2-BRCG_avg_preds,QUANTILE_nof_bin_cols,QUANTILE-BRCG_runtime,QUANTILE-BRCG_acc,QUANTILE-BRCG_adj_bal_acc,QUANTILE-BRCG_recall,QUANTILE-BRCG_precision,QUANTILE-BRCG_f2,QUANTILE-BRCG_f,QUANTILE-BRCG_nof_rules,QUANTILE-BRCG_sum_preds,QUANTILE-BRCG_max_preds,QUANTILE-BRCG_avg_preds,NATIVE-R2N_runtime,NATIVE-R2N_acc,NATIVE-R2N_adj_bal_acc,NATIVE-R2N_recall,NATIVE-R2N_precision,NATIVE-R2N_f2,NATIVE-R2N_f,NATIVE-R2N_nof_rules,NATIVE-R2N_sum_preds,NATIVE-R2N_max_preds,NATIVE-R2N_avg_preds,QUANTILE-BRCG2_runtime,QUANTILE-BRCG2_acc,QUANTILE-BRCG2_adj_bal_acc,QUANTILE-BRCG2_recall,QUANTILE-BRCG2_precision,QUANTILE-BRCG2_f2,QUANTILE-BRCG2_f,QUANTILE-BRCG2_nof_rules,QUANTILE-BRCG2_sum_preds,QUANTILE-BRCG2_max_preds,QUANTILE-BRCG2_avg_preds,QUANTILE-RIPPER_runtime,QUANTILE-RIPPER_acc,QUANTILE-RIPPER_adj_bal_acc,QUANTILE-RIPPER_recall,QUANTILE-RIPPER_precision,QUANTILE-RIPPER_f2,QUANTILE-RIPPER_f,QUANTILE-RIPPER_nof_rules,QUANTILE-RIPPER_sum_preds,QUANTILE-RIPPER_max_preds,QUANTILE-RIPPER_avg_preds,QUANTILE-CORELS_runtime,QUANTILE-CORELS_acc,QUANTILE-CORELS_adj_bal_acc,QUANTILE-CORELS_recall,QUANTILE-CORELS_precision,QUANTILE-CORELS_f2,QUANTILE-CORELS_f,QUANTILE-CORELS_nof_rules,QUANTILE-CORELS_sum_preds,QUANTILE-CORELS_max_preds,QUANTILE-CORELS_avg_preds,TREES-CORELS2_runtime,TREES-CORELS2_acc,TREES-CORELS2_adj_bal_acc,TREES-CORELS2_recall,TREES-CORELS2_precision,TREES-CORELS2_f2,TREES-CORELS2_f,TREES-CORELS2_nof_rules,TREES-CORELS2_sum_preds,TREES-CORELS2_max_preds,TREES-CORELS2_avg_preds,TREES2-CORELS2_runtime,TREES2-CORELS2_acc,TREES2-CORELS2_adj_bal_acc,TREES2-CORELS2_recall,TREES2-CORELS2_precision,TREES2-CORELS2_f2,TREES2-CORELS2_f,TREES2-CORELS2_nof_rules,TREES2-CORELS2_sum_preds,TREES2-CORELS2_max_preds,TREES2-CORELS2_avg_preds,TREES-RIPPER_runtime,TREES-RIPPER_acc,TREES-RIPPER_adj_bal_acc,TREES-RIPPER_recall,TREES-RIPPER_precision,TREES-RIPPER_f2,TREES-RIPPER_f,TREES-RIPPER_nof_rules,TREES-RIPPER_sum_preds,TREES-RIPPER_max_preds,TREES-RIPPER_avg_preds
german_credit,1000,21,7,13,300,0.3,credit,organic,20.0,0.06,0.76,0.4,0.53,0.68,0.55,0.59,0.0,0.73,0.31,0.43,0.63,0.46,0.51,4.0,16.0,4.0,4.0,0.01,0.74,0.38,0.54,0.62,0.55,0.58,20.0,110.0,6.0,5.5,0.01,0.69,0.31,0.56,0.53,0.55,0.54,67.0,615.0,15.0,9.18,22.0,1.32,0.65,0.08,0.22,0.43,0.25,0.29,2.0,8.0,6.0,4.0,20.0,0.03,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.7,0.3,0.51,0.55,0.51,0.53,21.0,73.0,5.0,3.48,0.21,0.7,0.3,0.51,0.55,0.51,0.53,21.0,73.0,5.0,3.48,0.04,0.67,0.02,0.04,0.5,0.05,0.07,1.0,2.0,2.0,2.0,1.6,0.69,0.16,0.27,0.55,0.3,0.36,3.0,16.0,9.0,5.33,40.0,5.72,0.67,0.15,0.29,0.5,0.32,0.37,23.0,105.0,10.0,4.57,2.71,0.69,0.22,0.38,0.54,0.41,0.45,2.0,11.0,7.0,5.5,176.0,6.56,0.71,0.27,0.41,0.59,0.44,0.49,12.0,48.0,8.0,4.0,5.29,0.67,0.0,0.0,1.0,0.0,0.0,3.0,19.0,9.0,6.33,8.47,0.73,0.33,0.47,0.61,0.5,0.53,25.0,113.0,10.0,4.52,0.33,0.71,0.27,0.41,0.59,0.44,0.49,2.0,7.0,4.0,3.5,0.21,0.71,0.24,0.34,0.62,0.38,0.44,1.0,2.0,2.0,2.0,0.07,0.67,0.02,0.04,0.5,0.05,0.07,1.0,2.0,2.0,2.0,0.2,0.66,0.0,0.03,0.33,0.04,0.06,1.0,3.0,3.0,3.0,,,,,,,,,,,
taiwan_credit,30000,24,14,9,6636,0.2212,credit,organic,23.0,1.05,0.81,0.31,0.37,0.64,0.4,0.47,0.1,0.82,0.28,0.32,0.72,0.36,0.44,2.0,8.0,4.0,4.0,0.13,0.82,0.3,0.35,0.67,0.39,0.46,17.0,101.0,6.0,5.94,0.29,0.72,0.23,0.42,0.39,0.41,0.4,1599.0,28446.0,40.0,17.79,28.0,1.46,0.82,0.28,0.31,0.71,0.35,0.44,2.0,3.0,2.0,1.5,23.0,8.61,0.82,0.28,0.32,0.7,0.36,0.44,12.0,59.0,8.0,4.92,8.02,0.82,0.28,0.32,0.7,0.36,0.44,12.0,59.0,8.0,4.92,8.99,0.82,0.28,0.32,0.7,0.36,0.44,12.0,59.0,8.0,4.92,0.68,0.82,0.28,0.32,0.71,0.36,0.44,2.0,4.0,2.0,2.0,4.13,0.82,0.28,0.32,0.72,0.36,0.44,4.0,10.0,5.0,2.5,52.0,5.87,0.82,0.28,0.31,0.71,0.35,0.44,2.0,3.0,2.0,1.5,2.14,0.82,0.28,0.31,0.71,0.35,0.44,2.0,3.0,2.0,1.5,398.0,22.36,0.81,0.24,0.27,0.71,0.31,0.39,1.0,2.0,2.0,2.0,141.74,0.82,0.31,0.36,0.68,0.4,0.47,3.0,4.0,2.0,1.33,28.95,0.82,0.27,0.3,0.71,0.34,0.43,5.0,8.0,2.0,1.6,39.09,0.82,0.29,0.34,0.68,0.37,0.45,21.0,122.0,10.0,5.81,39.57,0.82,0.28,0.32,0.71,0.36,0.44,2.0,4.0,2.0,2.0,1.46,0.82,0.3,0.34,0.7,0.38,0.46,3.0,6.0,2.0,2.0,19.79,0.82,0.28,0.32,0.71,0.36,0.44,2.0,4.0,2.0,2.0,0.23,0.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
compas,7210,8,0,7,3250,0.4508,recidivism,organic,7.0,0.1,0.67,0.33,0.59,0.65,0.6,0.62,0.01,0.68,0.34,0.63,0.65,0.63,0.64,10.0,40.0,4.0,4.0,0.01,0.68,0.34,0.6,0.65,0.61,0.63,30.0,175.0,6.0,5.83,0.01,0.67,0.33,0.59,0.65,0.6,0.62,84.0,670.0,11.0,7.98,22.0,1.45,0.66,0.29,0.5,0.66,0.53,0.57,2.0,2.0,1.0,1.0,7.0,0.03,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.66,0.29,0.54,0.64,0.55,0.59,2.0,4.0,2.0,2.0,3.77,0.66,0.29,0.5,0.66,0.53,0.57,2.0,2.0,1.0,1.0,24.0,4.03,0.66,0.27,0.43,0.69,0.46,0.53,4.0,13.0,8.0,3.25,1.31,0.66,0.29,0.5,0.66,0.53,0.57,2.0,2.0,1.0,1.0,28.0,1.97,0.67,0.33,0.57,0.66,0.59,0.61,3.0,7.0,5.0,2.33,25.36,0.67,0.32,0.55,0.66,0.57,0.6,3.0,4.0,2.0,1.33,5.88,0.66,0.27,0.43,0.69,0.47,0.53,5.0,21.0,9.0,4.2,0.1,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.66,0.29,0.54,0.64,0.55,0.59,2.0,4.0,2.0,2.0,0.17,0.66,0.32,0.6,0.64,0.61,0.62,3.0,6.0,2.0,2.0,0.21,0.66,0.32,0.6,0.64,0.61,0.62,3.0,6.0,2.0,2.0,0.1,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fraud_detection,284807,31,30,0,492,0.0017,transaction-fraud,organic,30.0,10.54,1.0,0.81,0.81,0.94,0.84,0.87,2.25,1.0,0.78,0.78,0.84,0.79,0.81,6.0,22.0,4.0,3.67,3.35,1.0,0.83,0.83,0.87,0.84,0.85,14.0,73.0,6.0,5.21,10.13,1.0,0.82,0.82,0.77,0.81,0.79,72.0,915.0,24.0,12.71,24.0,2.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,721.58,1.0,0.75,0.75,0.91,0.78,0.82,4.0,17.0,5.0,4.25,774.41,1.0,0.75,0.75,0.91,0.78,0.82,4.0,17.0,5.0,4.25,782.23,1.0,0.75,0.75,0.91,0.78,0.82,4.0,17.0,5.0,4.25,4.93,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,1.0,0.69,0.69,0.86,0.72,0.76,1.0,2.0,2.0,2.0,42.0,4.49,1.0,0.73,0.73,0.86,0.75,0.79,1.0,2.0,2.0,2.0,3.54,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,7.71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.07,1.0,0.74,0.74,0.82,0.75,0.78,1.0,3.0,3.0,3.0,117.47,1.0,0.8,0.8,0.85,0.81,0.82,5.0,31.0,7.0,6.2,3866.95,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.11,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
fraud_oracle,15420,33,8,24,923,0.0599,insurance-fraud,organic,32.0,0.48,0.95,0.34,0.34,0.7,0.38,0.46,0.08,0.94,0.03,0.03,0.59,0.04,0.07,4.0,15.0,4.0,3.75,0.08,0.94,0.06,0.06,0.64,0.08,0.11,8.0,40.0,6.0,5.0,0.09,0.9,0.21,0.26,0.24,0.26,0.25,268.0,4233.0,30.0,15.79,24.0,0.35,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.2,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.94,0.03,0.03,0.8,0.03,0.05,1.0,4.0,4.0,4.0,36.0,1.82,0.94,0.03,0.03,1.0,0.03,0.05,1.0,5.0,5.0,5.0,0.51,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,1.34,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.04,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.56,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.35,0.28,0.98,0.08,0.32,0.16,13.0,66.0,7.0,5.08
bike_75,8760,14,9,4,61,0.007,demand-prediction,organic,13.0,0.12,0.99,0.25,0.25,0.71,0.29,0.37,0.01,0.99,0.5,0.5,0.53,0.51,0.51,2.0,8.0,4.0,4.0,0.01,0.99,0.5,0.5,0.56,0.51,0.53,8.0,46.0,6.0,5.75,0.01,0.99,0.45,0.45,0.41,0.44,0.43,17.0,133.0,12.0,7.82,16.0,0.12,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.02,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.99,0.3,0.3,0.46,0.32,0.36,11.0,39.0,6.0,3.55,0.08,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.99,0.5,0.5,0.56,0.51,0.53,1.0,5.0,5.0,5.0,28.0,0.53,0.99,0.5,0.5,0.62,0.52,0.56,1.0,5.0,5.0,5.0,0.21,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,0.5,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.47,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.69,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.93,0.68,0.75,0.07,0.26,0.13,5.0,16.0,4.0,3.2
bike_mean,8760,14,9,4,3523,0.4022,demand-prediction,organic,13.0,0.18,0.94,0.88,0.93,0.92,0.93,0.93,0.01,0.9,0.81,0.94,0.83,0.91,0.88,4.0,16.0,4.0,4.0,0.02,0.91,0.83,0.94,0.85,0.92,0.89,16.0,94.0,6.0,5.88,0.02,0.9,0.79,0.88,0.87,0.88,0.87,202.0,2528.0,21.0,12.51,28.0,1.91,0.91,0.82,0.94,0.85,0.92,0.89,3.0,13.0,5.0,4.33,13.0,1.44,0.91,0.81,0.9,0.88,0.89,0.89,26.0,131.0,7.0,5.04,1.27,0.91,0.81,0.9,0.88,0.89,0.89,26.0,131.0,7.0,5.04,1.28,0.91,0.81,0.9,0.88,0.89,0.89,26.0,131.0,7.0,5.04,0.13,0.82,0.64,0.82,0.76,0.8,0.79,1.0,2.0,2.0,2.0,2.83,0.91,0.83,0.94,0.85,0.92,0.89,4.0,19.0,6.0,4.75,54.0,3.67,0.88,0.75,0.84,0.86,0.84,0.85,5.0,19.0,6.0,3.8,2.9,0.9,0.82,0.93,0.84,0.91,0.89,3.0,13.0,6.0,4.33,864.0,42.31,0.88,0.75,0.84,0.86,0.84,0.85,1.0,7.0,7.0,7.0,64.8,0.65,0.2,0.34,0.61,0.37,0.44,1.0,2.0,2.0,2.0,111.89,0.88,0.75,0.84,0.86,0.85,0.85,10.0,28.0,10.0,2.8,16.59,0.9,0.79,0.87,0.87,0.87,0.87,20.0,129.0,9.0,6.45,10.98,0.74,0.46,0.65,0.69,0.66,0.67,1.0,2.0,2.0,2.0,0.38,0.85,0.68,0.8,0.81,0.81,0.81,1.0,3.0,3.0,3.0,4.5,0.85,0.68,0.8,0.81,0.81,0.81,1.0,3.0,3.0,3.0,0.09,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
orange_up,50000,213,174,38,3682,0.0736,product recommendation,organic,212.0,4.11,0.95,0.42,0.42,0.85,0.47,0.56,0.74,0.95,0.43,0.44,0.85,0.48,0.58,2.0,8.0,4.0,4.0,0.89,0.95,0.44,0.45,0.83,0.49,0.58,20.0,114.0,6.0,5.7,1.8,0.91,0.36,0.41,0.39,0.41,0.4,933.0,17838.0,41.0,19.12,28.0,98.67,0.95,0.43,0.44,0.85,0.48,0.58,1.0,4.0,4.0,4.0,212.0,27.22,0.95,0.41,0.42,0.86,0.47,0.56,8.0,39.0,7.0,4.88,27.98,0.95,0.41,0.42,0.86,0.47,0.56,8.0,39.0,7.0,4.88,28.67,0.95,0.41,0.42,0.86,0.47,0.56,8.0,39.0,7.0,4.88,99.78,0.95,0.44,0.44,0.83,0.49,0.58,2.0,6.0,3.0,3.0,99.64,0.95,0.43,0.44,0.85,0.48,0.58,1.0,4.0,4.0,4.0,50.0,102.18,0.93,0.0,0.0,0.44,0.0,0.01,1.0,3.0,3.0,3.0,100.16,0.95,0.43,0.44,0.85,0.48,0.58,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.31,0.95,0.43,0.44,0.85,0.48,0.58,3.0,12.0,4.0,4.0,112.73,0.95,0.44,0.44,0.83,0.49,0.58,1.0,3.0,3.0,3.0,97.21,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
orange_churn,50000,213,174,38,3672,0.0734,churn,organic,212.0,4.03,0.93,0.03,0.03,0.42,0.04,0.06,0.72,0.93,0.0,0.0,0.14,0.0,0.0,4.0,15.0,4.0,3.75,0.88,0.93,0.04,0.04,0.48,0.05,0.07,21.0,119.0,6.0,5.67,2.34,0.86,0.08,0.16,0.13,0.15,0.14,1353.0,31507.0,59.0,23.29,26.0,98.31,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,1.66,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.52,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,101.52,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.22,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.65,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,111.41,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88,0.93,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,32561,13,4,8,7841,0.2408,income_prediction,organic,12.0,0.44,0.86,0.59,0.66,0.76,0.68,0.7,0.04,0.82,0.26,0.26,0.98,0.3,0.41,7.0,28.0,4.0,4.0,0.04,0.83,0.43,0.49,0.76,0.52,0.59,19.0,107.0,6.0,5.63,0.06,0.81,0.48,0.6,0.62,0.61,0.61,1682.0,33885.0,39.0,20.15,26.0,3.23,0.83,0.39,0.43,0.77,0.47,0.55,3.0,6.0,3.0,2.0,12.0,10.15,0.84,0.48,0.54,0.74,0.57,0.63,39.0,222.0,10.0,5.69,10.01,0.84,0.48,0.54,0.74,0.57,0.63,39.0,222.0,10.0,5.69,10.16,0.84,0.48,0.54,0.74,0.57,0.63,39.0,222.0,10.0,5.69,0.35,0.81,0.27,0.28,0.86,0.33,0.43,2.0,4.0,2.0,2.0,4.38,0.83,0.4,0.44,0.79,0.48,0.56,5.0,13.0,5.0,2.6,48.0,6.25,0.83,0.39,0.42,0.82,0.47,0.56,6.0,21.0,7.0,3.5,4.17,0.83,0.39,0.43,0.78,0.47,0.56,3.0,6.0,3.0,2.0,234.0,21.13,0.82,0.45,0.55,0.65,0.57,0.6,1.0,10.0,10.0,10.0,169.36,0.71,0.52,0.86,0.46,0.73,0.6,2.0,2.0,1.0,1.0,49.55,0.82,0.35,0.39,0.75,0.43,0.52,6.0,27.0,8.0,4.5,39.64,0.83,0.48,0.57,0.67,0.59,0.62,35.0,238.0,12.0,6.8,6.63,0.78,0.2,0.23,0.67,0.27,0.35,1.0,2.0,2.0,2.0,0.78,0.81,0.27,0.28,0.86,0.33,0.43,2.0,4.0,2.0,2.0,6.87,0.81,0.29,0.31,0.83,0.35,0.45,3.0,6.0,2.0,2.0,0.18,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
