data_set,nof_rows,nof_col,nof_num_features,nof_cat_features,nof_pos,pos_ratio,use_case,origin,LENC_nof_bin_cols,LENC-XGB_runtime,LENC-XGB_acc,LENC-XGB_adj_bal_acc,LENC-XGB_recall,LENC-XGB_precision,LENC-XGB_f2,LENC-XGB_f,LENC-CART:6_runtime,LENC-CART:6_acc,LENC-CART:6_adj_bal_acc,LENC-CART:6_recall,LENC-CART:6_precision,LENC-CART:6_f2,LENC-CART:6_f,LENC-CART:6_nof_rules,LENC-CART:6_sum_preds,LENC-CART:6_max_preds,LENC-CART:6_avg_preds,LENC-CART:*_runtime,LENC-CART:*_acc,LENC-CART:*_adj_bal_acc,LENC-CART:*_recall,LENC-CART:*_precision,LENC-CART:*_f2,LENC-CART:*_f,LENC-CART:*_nof_rules,LENC-CART:*_sum_preds,LENC-CART:*_max_preds,LENC-CART:*_avg_preds,TREES_nof_bin_cols,TREES-BRCG_runtime,TREES-BRCG_acc,TREES-BRCG_adj_bal_acc,TREES-BRCG_recall,TREES-BRCG_precision,TREES-BRCG_f2,TREES-BRCG_f,TREES-BRCG_nof_rules,TREES-BRCG_sum_preds,TREES-BRCG_max_preds,TREES-BRCG_avg_preds,NATIVE_nof_bin_cols,NATIVE-RIPPER_runtime,NATIVE-RIPPER_acc,NATIVE-RIPPER_adj_bal_acc,NATIVE-RIPPER_recall,NATIVE-RIPPER_precision,NATIVE-RIPPER_f2,NATIVE-RIPPER_f,NATIVE-RIPPER_nof_rules,NATIVE-RIPPER_sum_preds,NATIVE-RIPPER_max_preds,NATIVE-RIPPER_avg_preds,NATIVE-RIPPER2_runtime,NATIVE-RIPPER2_acc,NATIVE-RIPPER2_adj_bal_acc,NATIVE-RIPPER2_recall,NATIVE-RIPPER2_precision,NATIVE-RIPPER2_f2,NATIVE-RIPPER2_f,NATIVE-RIPPER2_nof_rules,NATIVE-RIPPER2_sum_preds,NATIVE-RIPPER2_max_preds,NATIVE-RIPPER2_avg_preds,NATIVE-RIPPER3_runtime,NATIVE-RIPPER3_acc,NATIVE-RIPPER3_adj_bal_acc,NATIVE-RIPPER3_recall,NATIVE-RIPPER3_precision,NATIVE-RIPPER3_f2,NATIVE-RIPPER3_f,NATIVE-RIPPER3_nof_rules,NATIVE-RIPPER3_sum_preds,NATIVE-RIPPER3_max_preds,NATIVE-RIPPER3_avg_preds,TREES-CORELS_runtime,TREES-CORELS_acc,TREES-CORELS_adj_bal_acc,TREES-CORELS_recall,TREES-CORELS_precision,TREES-CORELS_f2,TREES-CORELS_f,TREES-CORELS_nof_rules,TREES-CORELS_sum_preds,TREES-CORELS_max_preds,TREES-CORELS_avg_preds,TREES-BRCG2_runtime,TREES-BRCG2_acc,TREES-BRCG2_adj_bal_acc,TREES-BRCG2_recall,TREES-BRCG2_precision,TREES-BRCG2_f2,TREES-BRCG2_f,TREES-BRCG2_nof_rules,TREES-BRCG2_sum_preds,TREES-BRCG2_max_preds,TREES-BRCG2_avg_preds,TREES2_nof_bin_cols,TREES2-BRCG2_runtime,TREES2-BRCG2_acc,TREES2-BRCG2_adj_bal_acc,TREES2-BRCG2_recall,TREES2-BRCG2_precision,TREES2-BRCG2_f2,TREES2-BRCG2_f,TREES2-BRCG2_nof_rules,TREES2-BRCG2_sum_preds,TREES2-BRCG2_max_preds,TREES2-BRCG2_avg_preds,TREES2-BRCG_runtime,TREES2-BRCG_acc,TREES2-BRCG_adj_bal_acc,TREES2-BRCG_recall,TREES2-BRCG_precision,TREES2-BRCG_f2,TREES2-BRCG_f,TREES2-BRCG_nof_rules,TREES2-BRCG_sum_preds,TREES2-BRCG_max_preds,TREES2-BRCG_avg_preds,QUANTILE_nof_bin_cols,QUANTILE-BRCG_runtime,QUANTILE-BRCG_acc,QUANTILE-BRCG_adj_bal_acc,QUANTILE-BRCG_recall,QUANTILE-BRCG_precision,QUANTILE-BRCG_f2,QUANTILE-BRCG_f,QUANTILE-BRCG_nof_rules,QUANTILE-BRCG_sum_preds,QUANTILE-BRCG_max_preds,QUANTILE-BRCG_avg_preds,NATIVE-R2N_runtime,NATIVE-R2N_acc,NATIVE-R2N_adj_bal_acc,NATIVE-R2N_recall,NATIVE-R2N_precision,NATIVE-R2N_f2,NATIVE-R2N_f,NATIVE-R2N_nof_rules,NATIVE-R2N_sum_preds,NATIVE-R2N_max_preds,NATIVE-R2N_avg_preds,QUANTILE-BRCG2_runtime,QUANTILE-BRCG2_acc,QUANTILE-BRCG2_adj_bal_acc,QUANTILE-BRCG2_recall,QUANTILE-BRCG2_precision,QUANTILE-BRCG2_f2,QUANTILE-BRCG2_f,QUANTILE-BRCG2_nof_rules,QUANTILE-BRCG2_sum_preds,QUANTILE-BRCG2_max_preds,QUANTILE-BRCG2_avg_preds,QUANTILE-RIPPER_runtime,QUANTILE-RIPPER_acc,QUANTILE-RIPPER_adj_bal_acc,QUANTILE-RIPPER_recall,QUANTILE-RIPPER_precision,QUANTILE-RIPPER_f2,QUANTILE-RIPPER_f,QUANTILE-RIPPER_nof_rules,QUANTILE-RIPPER_sum_preds,QUANTILE-RIPPER_max_preds,QUANTILE-RIPPER_avg_preds,QUANTILE-CORELS_runtime,QUANTILE-CORELS_acc,QUANTILE-CORELS_adj_bal_acc,QUANTILE-CORELS_recall,QUANTILE-CORELS_precision,QUANTILE-CORELS_f2,QUANTILE-CORELS_f,QUANTILE-CORELS_nof_rules,QUANTILE-CORELS_sum_preds,QUANTILE-CORELS_max_preds,QUANTILE-CORELS_avg_preds,TREES-CORELS2_runtime,TREES-CORELS2_acc,TREES-CORELS2_adj_bal_acc,TREES-CORELS2_recall,TREES-CORELS2_precision,TREES-CORELS2_f2,TREES-CORELS2_f,TREES-CORELS2_nof_rules,TREES-CORELS2_sum_preds,TREES-CORELS2_max_preds,TREES-CORELS2_avg_preds,TREES2-CORELS2_runtime,TREES2-CORELS2_acc,TREES2-CORELS2_adj_bal_acc,TREES2-CORELS2_recall,TREES2-CORELS2_precision,TREES2-CORELS2_f2,TREES2-CORELS2_f,TREES2-CORELS2_nof_rules,TREES2-CORELS2_sum_preds,TREES2-CORELS2_max_preds,TREES2-CORELS2_avg_preds,LENC-CART:4_f,TREES-RIPPER_runtime,TREES-RIPPER_acc,TREES-RIPPER_adj_bal_acc,TREES-RIPPER_recall,TREES-RIPPER_precision,TREES-RIPPER_f2,TREES-RIPPER_f,TREES-RIPPER_nof_rules,TREES-RIPPER_sum_preds,TREES-RIPPER_max_preds,TREES-RIPPER_avg_preds,LENC-CART:4_runtime,LENC-CART:4_acc,LENC-CART:4_adj_bal_acc,LENC-CART:4_recall,LENC-CART:4_precision,LENC-CART:4_f2,LENC-CART:4_nof_rules,LENC-CART:4_sum_preds,LENC-CART:4_max_preds,LENC-CART:4_avg_preds,QUANTILE-RIPPERexception,QUANTILE-BRCGexception,LENC-CART:*exception,TREES2-BRCG2exception,TREES-BRCG2exception,TREES-BRCGexception,LENC-CART:4exception,NATIVE-RIPPERexception,NATIVE-RIPPER2exception,NATIVE-RIPPER3exception,TREES-RIPPERexception
synth_disj_100,100000,4,3,0,50471,0.5047,other,synthetic,3.0,1.21,1.0,1.0,1.0,1.0,1.0,1.0,0.12,0.52,0.03,1.0,0.51,0.84,0.68,4.0,18.0,6.0,4.5,1.85,1.0,1.0,1.0,1.0,1.0,1.0,100.0,10098.0,199.0,100.98,8.0,3.24,0.52,0.02,1.0,0.51,0.84,0.68,2.0,3.0,2.0,1.5,3.0,179.99,1.0,0.99,0.99,1.0,1.0,1.0,100.0,199.0,2.0,1.99,199.17,1.0,0.99,0.99,1.0,1.0,1.0,100.0,199.0,2.0,1.99,203.47,1.0,0.99,0.99,1.0,1.0,1.0,100.0,199.0,2.0,1.99,0.31,0.49,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.05,0.52,0.02,1.0,0.51,0.84,0.68,2.0,3.0,2.0,1.5,10.0,4.65,0.52,0.03,1.0,0.51,0.84,0.68,3.0,5.0,2.0,1.67,5.41,0.52,0.03,1.0,0.51,0.84,0.68,3.0,5.0,2.0,1.67,54.0,-1.0,,,,,,,,,,,435.16,0.49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.84,0.5,0.0,0.72,0.51,0.66,0.59,2.0,6.0,3.0,3.0,-1.0,,,,,,,,,,,2.16,0.49,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4,0.52,0.02,1.0,0.51,0.84,0.68,4.0,11.0,3.0,2.75,0.84,0.52,0.02,1.0,0.51,0.84,0.68,2.0,5.0,3.0,2.5,0.68,0.21,0.49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.52,0.02,1.0,0.51,0.84,3.0,10.0,4.0,3.33,training,training,,,,,,,,,
synth_disj_1000,100000,4,3,0,49821,0.4982,other,synthetic,3.0,1.32,0.57,0.15,0.43,0.6,0.46,0.5,0.12,0.5,0.0,0.0,1.0,0.0,0.0,3.0,10.0,5.0,3.33,22.0,0.98,0.97,0.98,0.99,0.98,0.98,,,,,8.0,1.83,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.77,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07,0.5,0.0,1.0,0.5,0.83,0.67,28.0,68.0,6.0,2.43,18.37,0.5,0.0,1.0,0.5,0.83,0.67,28.0,68.0,6.0,2.43,0.31,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.5,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.5,10.0,3.77,0.5,0.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,1.67,2.18,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.7,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,424.72,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.36,0.5,0.0,0.18,0.51,0.21,0.27,1.0,3.0,3.0,3.0,-1.0,,,,,,,,,,,1.9,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,1.0,0.0,2.0,5.0,3.0,2.5,training,,export,,,,,,,,
synth_disj_2,100000,4,3,0,50010,0.5001,other,synthetic,3.0,0.46,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.5,0.05,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.5,6.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.5,3.0,3.34,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.33,3.81,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.5,3.81,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.5,0.26,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.5,6.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.5,54.0,6.85,0.9,0.79,0.9,0.9,0.9,0.9,2.0,3.0,2.0,1.5,418.54,0.99,0.98,1.0,0.99,0.99,0.99,2.0,4.0,3.0,2.0,16.2,0.9,0.79,0.89,0.9,0.89,0.9,3.0,5.0,2.0,1.67,0.47,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.88,0.75,0.75,1.0,0.79,0.86,2.0,4.0,2.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.5,1.0,0.36,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.5,0.05,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.5,,,,,,,,,,,
synth_disj_3,100000,4,3,0,50081,0.5008,other,synthetic,3.0,0.61,1.0,1.0,1.0,1.0,1.0,1.0,0.07,1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,5.0,3.33,0.07,1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,5.0,3.33,8.0,1.43,0.83,0.66,0.66,1.0,0.71,0.8,2.0,3.0,2.0,1.5,3.0,6.58,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,2.0,1.8,5.5,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,2.0,1.8,5.53,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,2.0,1.8,0.29,0.83,0.66,0.66,1.0,0.71,0.8,2.0,4.0,2.0,2.0,1.51,0.83,0.66,0.66,1.0,0.71,0.8,2.0,3.0,2.0,1.5,10.0,-1.0,,,,,,,,,,,1.12,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.67,54.0,7.3,0.87,0.73,0.86,0.87,0.87,0.87,3.0,5.0,2.0,1.67,425.04,0.66,0.33,0.33,1.0,0.38,0.49,1.0,1.0,1.0,1.0,24.34,0.87,0.73,0.86,0.87,0.87,0.87,3.0,5.0,2.0,1.67,0.47,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.75,0.51,0.63,0.84,0.66,0.72,2.0,4.0,2.0,2.0,0.33,0.83,0.66,0.66,1.0,0.71,0.8,2.0,5.0,3.0,2.5,0.6,0.83,0.66,0.66,1.0,0.71,0.8,2.0,5.0,3.0,2.5,0.8,0.32,0.67,0.34,1.0,0.6,0.88,0.75,1.0,1.0,1.0,1.0,0.06,0.83,0.66,0.66,1.0,0.71,2.0,5.0,4.0,2.5,,,,training,,,,,,,
synth_disj_4,100000,4,3,0,49797,0.498,other,synthetic,3.0,0.76,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.87,0.75,0.75,1.0,0.79,0.86,3.0,11.0,5.0,3.67,0.09,1.0,1.0,1.0,1.0,1.0,1.0,4.0,18.0,7.0,4.5,8.0,1.45,0.75,0.5,0.5,1.0,0.56,0.67,2.0,3.0,2.0,1.5,3.0,7.58,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,2.0,1.8,8.19,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,2.0,1.83,8.98,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,2.0,1.83,0.31,0.75,0.5,0.5,1.0,0.56,0.67,2.0,4.0,2.0,2.0,1.62,0.75,0.5,0.5,1.0,0.56,0.67,2.0,3.0,2.0,1.5,10.0,1.71,0.87,0.75,0.75,1.0,0.79,0.86,3.0,5.0,2.0,1.67,1.57,0.87,0.75,0.75,1.0,0.79,0.86,3.0,5.0,2.0,1.67,54.0,21.0,0.8,0.6,0.8,0.8,0.8,0.8,4.0,7.0,2.0,1.75,423.76,0.62,0.25,0.25,1.0,0.29,0.4,1.0,1.0,1.0,1.0,67.64,0.75,0.51,0.66,0.81,0.68,0.73,3.0,5.0,2.0,1.67,0.45,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.7,0.41,0.71,0.7,0.71,0.71,2.0,3.0,2.0,1.5,0.34,0.75,0.5,0.5,1.0,0.56,0.67,2.0,5.0,3.0,2.5,0.62,0.75,0.5,0.5,1.0,0.56,0.67,2.0,5.0,3.0,2.5,0.67,0.32,0.63,0.25,0.75,0.6,0.72,0.67,1.0,2.0,2.0,2.0,0.07,0.75,0.5,0.5,1.0,0.56,2.0,6.0,4.0,3.0,,,,,,,,,,,
synth_disj_5,100000,4,3,0,50017,0.5002,other,synthetic,3.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,0.09,0.8,0.6,0.6,1.0,0.66,0.75,3.0,9.0,5.0,3.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,5.0,25.0,9.0,5.0,8.0,2.09,0.7,0.4,0.4,1.0,0.45,0.57,2.0,3.0,2.0,1.5,3.0,8.92,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,2.0,1.83,8.76,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,2.0,1.8,8.79,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,2.0,1.8,0.32,0.7,0.4,0.4,1.0,0.45,0.57,2.0,4.0,2.0,2.0,-1.0,,,,,,,,,,,10.0,2.29,0.8,0.6,0.6,1.0,0.66,0.75,3.0,5.0,2.0,1.67,3.77,0.8,0.6,0.6,1.0,0.66,0.75,3.0,5.0,2.0,1.67,54.0,11.94,0.98,0.96,0.98,0.98,0.98,0.98,5.0,9.0,2.0,1.8,419.8,0.6,0.19,0.2,0.98,0.23,0.33,1.0,1.0,1.0,1.0,5.58,0.98,0.96,0.98,0.98,0.98,0.98,5.0,9.0,2.0,1.8,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.67,0.34,0.59,0.71,0.61,0.64,4.0,12.0,3.0,3.0,0.35,0.7,0.4,0.4,1.0,0.45,0.57,2.0,5.0,3.0,2.5,0.64,0.7,0.4,0.4,1.0,0.45,0.57,2.0,5.0,3.0,2.5,0.57,0.21,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.7,0.4,0.4,1.0,0.45,2.0,4.0,3.0,2.0,,,,,training,,,,,,
synth_disj_6,100000,4,3,0,50064,0.5006,other,synthetic,3.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.75,0.49,1.0,0.67,0.91,0.8,4.0,16.0,6.0,4.0,0.12,1.0,1.0,1.0,1.0,1.0,1.0,6.0,37.0,11.0,6.17,8.0,2.85,0.67,0.33,0.33,1.0,0.39,0.5,2.0,3.0,2.0,1.5,3.0,12.12,1.0,1.0,1.0,1.0,1.0,1.0,8.0,15.0,2.0,1.88,10.49,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,2.0,1.83,10.87,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,2.0,1.83,0.32,0.67,0.33,0.33,1.0,0.39,0.5,2.0,4.0,2.0,2.0,-1.0,,,,,,,,,,,10.0,2.9,0.75,0.5,0.5,1.0,0.56,0.67,3.0,5.0,2.0,1.67,2.47,0.75,0.5,0.5,1.0,0.56,0.67,3.0,5.0,2.0,1.67,54.0,20.71,0.7,0.4,0.7,0.7,0.7,0.7,4.0,7.0,2.0,1.75,429.23,0.58,0.17,0.17,1.0,0.2,0.29,1.0,1.0,1.0,1.0,21.16,0.7,0.4,0.7,0.7,0.7,0.7,4.0,7.0,2.0,1.75,-1.0,,,,,,,,,,,1.9,0.62,0.24,0.3,0.84,0.34,0.44,2.0,4.0,2.0,2.0,0.35,0.67,0.33,0.33,1.0,0.39,0.5,2.0,5.0,3.0,2.5,0.65,0.67,0.34,0.5,0.76,0.54,0.6,6.0,18.0,3.0,3.0,0.5,0.33,0.58,0.16,1.0,0.55,0.86,0.71,1.0,1.0,1.0,1.0,0.07,0.67,0.33,0.33,1.0,0.39,2.0,5.0,3.0,2.5,training,,,,training,,,,,,
synth_disj_7,100000,4,3,0,50016,0.5002,other,synthetic,3.0,1.24,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.71,0.43,1.0,0.63,0.9,0.78,4.0,18.0,6.0,4.5,0.14,1.0,1.0,1.0,1.0,1.0,1.0,7.0,55.0,13.0,7.86,8.0,2.87,0.64,0.29,1.0,0.58,0.87,0.73,2.0,3.0,2.0,1.5,3.0,13.4,1.0,1.0,1.0,1.0,1.0,1.0,11.0,20.0,2.0,1.82,14.74,1.0,1.0,1.0,1.0,1.0,1.0,13.0,24.0,2.0,1.85,15.76,1.0,1.0,1.0,1.0,1.0,1.0,13.0,24.0,2.0,1.85,0.31,0.64,0.29,1.0,0.58,0.87,0.73,2.0,4.0,2.0,2.0,2.9,0.64,0.29,1.0,0.58,0.87,0.73,2.0,3.0,2.0,1.5,10.0,4.03,0.71,0.43,1.0,0.63,0.9,0.78,3.0,5.0,2.0,1.67,2.94,0.71,0.43,1.0,0.63,0.9,0.78,3.0,5.0,2.0,1.67,54.0,7.98,0.61,0.22,0.71,0.59,0.68,0.64,2.0,3.0,2.0,1.5,419.48,0.57,0.14,0.14,1.0,0.17,0.25,1.0,1.0,1.0,1.0,7.49,0.61,0.22,0.71,0.59,0.68,0.64,2.0,3.0,2.0,1.5,-1.0,,,,,,,,,,,1.89,0.58,0.16,0.35,0.65,0.38,0.45,2.0,4.0,2.0,2.0,0.33,0.64,0.29,1.0,0.58,0.87,0.73,2.0,5.0,3.0,2.5,0.64,0.64,0.29,1.0,0.58,0.87,0.74,3.0,7.0,3.0,2.33,0.73,0.2,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.64,0.29,1.0,0.58,0.87,3.0,10.0,4.0,3.33,training,,,,,,,,,,
synth_disj_8,100000,4,3,0,50047,0.5005,other,synthetic,3.0,1.08,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.69,0.38,0.38,1.0,0.43,0.55,3.0,11.0,6.0,3.67,0.16,1.0,1.0,1.0,1.0,1.0,1.0,8.0,66.0,15.0,8.25,8.0,3.29,0.63,0.25,0.25,1.0,0.3,0.41,2.0,3.0,2.0,1.5,3.0,13.4,1.0,1.0,1.0,1.0,1.0,1.0,10.0,19.0,2.0,1.9,14.41,1.0,1.0,1.0,1.0,1.0,1.0,11.0,20.0,2.0,1.82,14.56,1.0,1.0,1.0,1.0,1.0,1.0,11.0,20.0,2.0,1.82,0.31,0.63,0.25,0.25,1.0,0.3,0.41,2.0,4.0,2.0,2.0,2.98,0.63,0.25,0.25,1.0,0.3,0.41,2.0,3.0,2.0,1.5,10.0,3.01,0.69,0.37,1.0,0.62,0.89,0.76,3.0,5.0,2.0,1.67,3.65,0.69,0.37,1.0,0.62,0.89,0.76,3.0,5.0,2.0,1.67,54.0,6.09,0.6,0.21,0.6,0.6,0.6,0.6,2.0,3.0,2.0,1.5,419.21,0.56,0.13,0.13,1.0,0.15,0.22,1.0,1.0,1.0,1.0,9.37,0.6,0.21,0.6,0.6,0.6,0.6,2.0,3.0,2.0,1.5,-1.0,,,,,,,,,,,1.87,0.55,0.1,0.84,0.53,0.75,0.65,2.0,4.0,2.0,2.0,0.34,0.63,0.25,0.25,1.0,0.3,0.41,2.0,5.0,3.0,2.5,0.63,0.63,0.25,0.25,1.0,0.3,0.41,2.0,5.0,3.0,2.5,0.41,0.33,0.56,0.13,1.0,0.53,0.85,0.7,1.0,1.0,1.0,1.0,0.07,0.63,0.25,0.25,1.0,0.3,2.0,5.0,4.0,2.5,training,,,,,,,,,,
synth_disj_9,100000,4,3,0,50189,0.5019,other,synthetic,3.0,1.09,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.66,0.33,1.0,0.6,0.88,0.75,4.0,18.0,6.0,4.5,0.17,1.0,1.0,1.0,1.0,1.0,1.0,9.0,89.0,17.0,9.89,8.0,-1.0,,,,,,,,,,,3.0,14.67,1.0,1.0,1.0,1.0,1.0,1.0,11.0,20.0,2.0,1.82,16.74,1.0,1.0,1.0,1.0,1.0,1.0,12.0,23.0,2.0,1.92,17.13,1.0,1.0,1.0,1.0,1.0,1.0,12.0,23.0,2.0,1.92,0.31,0.61,0.22,1.0,0.56,0.87,0.72,2.0,4.0,2.0,2.0,2.93,0.61,0.22,1.0,0.56,0.87,0.72,2.0,3.0,2.0,1.5,10.0,3.56,0.66,0.33,1.0,0.6,0.88,0.75,3.0,5.0,2.0,1.67,2.77,0.66,0.33,1.0,0.6,0.88,0.75,3.0,5.0,2.0,1.67,54.0,2.72,0.55,0.1,0.56,0.55,0.55,0.55,1.0,1.0,1.0,1.0,418.28,0.55,0.11,0.11,1.0,0.13,0.2,1.0,1.0,1.0,1.0,6.32,0.55,0.1,0.56,0.55,0.55,0.55,1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,88.73,0.55,0.1,0.56,0.55,0.55,0.55,1.0,1.0,1.0,1.0,0.35,0.61,0.22,1.0,0.56,0.87,0.72,2.0,5.0,3.0,2.5,0.66,0.61,0.22,1.0,0.56,0.86,0.72,3.0,7.0,3.0,2.33,0.72,0.2,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.61,0.22,1.0,0.56,0.87,3.0,10.0,4.0,3.33,training,,,,,training,,,,,
synth_linear_0,70000,2,1,0,34951,0.4993,other,synthetic,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.27,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,295.98,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,0.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
